,S11,S21,S31,S12,S22,S32,S13,S23,S33
1.55,0.005152840632945299,0.6969963908195496,0.697012722492218,0.6970133185386658,0.0579180009663105,0.060478270053863525,0.6970155835151672,0.06047831103205681,0.057918231934309006
1.5611111111111111,0.0047505865804851055,0.6947575807571411,0.6947944164276123,0.6947742104530334,0.059585366398096085,0.05848780274391174,0.6947844624519348,0.05848756060004234,0.05958372354507446
1.5722222222222222,0.003682389622554183,0.691219687461853,0.6912413239479065,0.6912166476249695,0.06004835292696953,0.05620236322283745,0.6912103295326233,0.056202005594968796,0.06004810333251953
1.5833333333333333,0.0026771249249577522,0.6868536472320557,0.6868487000465393,0.6868429780006409,0.05627284571528435,0.05880346521735191,0.6868287920951843,0.058803267776966095,0.056273531168699265
1.5944444444444443,0.0016078565968200564,0.6812907457351685,0.6812997460365295,0.6812958717346191,0.055861614644527435,0.05671876296401024,0.681279718875885,0.056718092411756516,0.05586204677820206
1.6055555555555556,0.00066806172253564,0.6752844452857971,0.6753008961677551,0.6752829551696777,0.05574049428105354,0.05347972363233566,0.6752714514732361,0.05347831919789314,0.055741049349308014
1.6166666666666667,0.00022785802138969302,0.6684971451759338,0.668536365032196,0.6685090065002441,0.05159129574894905,0.05594833567738533,0.6685003638267517,0.055946704000234604,0.051593489944934845
1.6277777777777778,0.0011997531400993466,0.6608444452285767,0.660865843296051,0.6608611345291138,0.05170893296599388,0.05317719653248787,0.6608373522758484,0.053175702691078186,0.0517101064324379
1.6388888888888888,0.0021518857683986425,0.6534843444824219,0.6534711718559265,0.653495192527771,0.049756843596696854,0.0499732680618763,0.653462290763855,0.049971695989370346,0.04975949600338936
1.65,0.003599560121074319,0.6454383730888367,0.6454508900642395,0.6454290747642517,0.04628866910934448,0.053015779703855515,0.6454445719718933,0.05301515385508537,0.04629029333591461
